time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
852,0.651202,-0.654402,0.0742145,-0.0745816,0
853,0.651202,-0.654402,0.0743146,-0.0746817,0
854,0.652802,-0.656002,0.0743981,-0.0747652,0
855,0.652802,-0.656002,0.0744982,-0.0748653,0
856,0.654402,-0.657602,0.0745816,-0.0749487,0
857,0.654402,-0.657602,0.0746817,-0.0750488,0
858,0.656002,-0.659202,0.0747652,-0.0751323,0
859,0.656002,-0.659202,0.0748653,-0.0752324,0
860,0.657602,-0.660802,0.0749487,-0.0753158,0
861,0.657602,-0.660802,0.0750488,-0.0754159,0
862,0.659202,-0.662402,0.0751323,-0.0754994,0
863,0.659202,-0.662402,0.0752324,-0.0755995,0
864,0.660802,-0.664002,0.0753158,-0.0756829,0
865,0.660802,-0.664002,0.0754159,-0.075783,0
866,0.662402,-0.665602,0.0754994,-0.0758665,0
867,0.662402,-0.665602,0.0755995,-0.0759666,0
868,0.664002,-0.667202,0.0756829,-0.07605,0
869,0.664002,-0.667202,0.075783,-0.0761501,0
870,0.665602,-0.668802,0.0758665,-0.0762336,0
871,0.665602,-0.668802,0.0759666,-0.0763337,0
872,0.667202,-0.670402,0.07605,-0.0764171,0
873,0.667202,-0.670402,0.0761501,-0.0765172,0
874,0.668802,-0.672002,0.0762336,-0.0766006,0
875,0.668802,-0.672002,0.0763337,-0.0767007,0
876,0.670402,-0.673602,0.0764171,-0.0767842,0
877,0.670402,-0.673602,0.0765172,-0.0768843,0
878,0.672002,-0.675202,0.0766006,-0.0769677,0
879,0.672002,-0.675202,0.0767007,-0.0770678,0
880,0.673602,-0.676802,0.0767842,-0.0771512,0
881,0.673602,-0.676802,0.0768843,-0.0772513,0
882,0.675202,-0.678402,0.0769677,-0.0773348,0
883,0.675202,-0.678402,0.0770678,-0.0774349,0
884,0.676802,-0.680002,0.0771512,-0.0775183,0
885,0.676802,-0.680002,0.0772513,-0.0776184,0
886,0.678402,-0.681602,0.0773348,-0.0777018,0
887,0.678402,-0.681602,0.0774349,-0.0778019,0
888,0.680002,-0.683202,0.0775183,-0.0778854,0
889,0.680002,-0.683202,0.0776184,-0.0779855,0
890,0.681602,-0.684802,0.0777018,-0.0780689,0
891,0.681602,-0.684802,0.0778019,-0.078169,0
892,0.683202,-0.686402,0.0778854,-0.0782524,0
893,0.683202,-0.686402,0.0779855,-0.0783525,0
894,0.684802,-0.688002,0.0780689,-0.0784359,0
895,0.684802,-0.688002,0.078169,-0.078536,0
896,0.686402,-0.689602,0.0782524,-0.0786195,0
897,0.686402,-0.689602,0.0783525,-0.0787196,0
898,0.688002,-0.691203,0.0784359,-0.078803,0
899,0.688002,-0.691203,0.078536,-0.0789031,0
900,0.689602,-0.692803,0.0786195,-0.0789865,0
901,0.689602,-0.692803,0.0787196,-0.0790866,0
902,0.691203,-0.694403,0.078803,-0.07917,0
903,0.691203,-0.694403,0.0789031,-0.0792701,0
904,0.692803,-0.696003,0.0789865,-0.0793536,0
905,0.692803,-0.696003,0.0790866,-0.0794537,0
906,0.694403,-0.697603,0.07917,-0.0795371,0
907,0.694403,-0.697603,0.0792701,-0.0796372,0
908,0.696003,-0.699203,0.0793536,-0.0797206,0
909,0.696003,-0.699203,0.0794537,-0.0798207,0
910,0.697603,-0.700803,0.0795371,-0.0799041,0
911,0.697603,-0.700803,0.0796372,-0.0800042,0
912,0.699203,-0.702403,0.0797206,-0.0800876,0
913,0.699203,-0.702403,0.0798207,-0.0801877,0
914,0.700803,-0.704003,0.0799041,-0.0802711,0
915,0.700803,-0.704003,0.0800042,-0.0803712,0
916,0.702403,-0.705603,0.0800876,-0.0804546,0
917,0.702403,-0.705603,0.0801877,-0.0805547,0
918,0.704003,-0.707203,0.0802711,-0.0806382,0
919,0.704003,-0.707203,0.0803712,-0.0807382,0
920,0.705603,-0.708803,0.0804546,-0.0808217,0
921,0.705603,-0.708803,0.0805547,-0.0809217,0
922,0.707203,-0.710403,0.0806382,-0.0810052,0
923,0.707203,-0.710403,0.0807382,-0.0811053,0
924,0.708803,-0.712003,0.0808217,-0.0811887,0
925,0.708803,-0.712003,0.0809217,-0.0812888,0
